ID,Category,Summary Title,Full Victory Condition Statement
301,Political & Governance,Divine Right Granted,The player is granted the ultimate authority through the principle of Divine Right.
302,Political & Governance,Might Makes Right Rule,The player successfully enforced their rule based purely on the principle that Might Makes Right.
303,Political & Governance,Social Contract Secured,The player convinced the populace that their leadership is a necessary Social Contract for security.
304,Political & Governance,Philosopher King Established,The player successfully established a Philosopher King government based on Platonic ideals.
305,Political & Governance,Universal Supreme Law,"The player's single, supreme law is universally accepted as the one true principle of justice."
306,Political & Governance,Total Dictatorial Control,"The player, as a dictator, achieves total control over the public and private lives of all citizens."
307,Political & Governance,Perfect Anarchy Established,The player successfully established a perfectly functional Anarchy based on individual autonomy.
308,Political & Governance,Monopoly on Violence,The player's government has a monopoly on violence that no opposing force can challenge.
309,Political & Governance,Limited Government Security,The player successfully used a limited government to secure the life and property of every citizen.
310,Political & Governance,Political Will Is Only Law,The player's political will is the only source of law in the entire game world.
311,Space Opera & Cyberpunk,100% Information Control,The player successfully controlled the flow of information to 100% of the world's population.
312,Space Opera & Cyberpunk,Narrative Is Only Truth,The player's influence over the media makes their stated narrative the only accepted truth.
313,Space Opera & Cyberpunk,Last Free Thinker Submits,The last remaining person capable of independent thought willingly submitted to the player's rule.
314,Space Opera & Cyberpunk,Global Satellite Array Control,The player successfully seized and controls the global satellite communication array.
315,Economic & Trade,Invulnerable Global Routes,The player's trade routes span the entire globe and are completely invulnerable to interception.
316,Economic & Trade,World Bank Branch In Every Capital,The player has successfully established a branch of the World Bank in every major capital.
317,Economic & Trade,Self-Benefiting Free Trade,"The player established Economic Free Trade on the seas, benefiting only their own nation."
318,Economic & Trade,Rival Continent Bankrupted,The player successfully executed a financial strategy that bankrupted the entire rival continent.
319,Economic & Trade,100 Years Treasure Fleets,The player has accumulated enough Treasure Fleets to fund 100 years of operation.
320,Economic & Trade,Five Category Net Positive,The player's cities generate a net positive resource flow in all five major categories.
321,Economic & Trade,Staple Crop Cornered,The player successfully cornered the global market on the Staple Crop resource.
322,Economic & Trade,Sole Luxury Good Provider,The player is the sole provider of the luxury good desired by all noble classes.
323,Economic & Trade,Net Worth Triples Rivals,The player achieved victory by having a net worth greater than the next three rivals combined.
324,Economic & Trade,Corporation as Sovereign,The player's private corporation is formally recognized as a sovereign entity.
325,Economic & Trade,Rival Currency Collapsed,The player successfully manipulated the global market to cause a major rival's currency to collapse.
326,Economic & Trade,Perpetual Zero Tax,The player has accumulated enough wealth to permanently eliminate the tax burden on all citizens.
327,Economic & Trade,Ownership of All Capital Buildings,The player holds the Deed of Ownership for every building in the capital city.
328,Economic & Trade,Guaranteed Energy Independence,The player's trade agreement ensures their continued Energy Independence forever.
329,Character & Narrative,Final Selfless Act Balances Sins,"The morally gray character's final, selfless act balanced out all their previous sins."
330,Character & Narrative,Public Amends Made,The character successfully made public amends to every person they had wronged.
331,Character & Narrative,Happiness Surrendered,The protagonist surrendered their only chance at personal happiness to ensure the world's survival.
332,Character & Narrative,Death Catalyzes Enemy Change,The hero's voluntary death served as the catalyst for the ultimate change in the enemy.
333,Character & Narrative,Villain Saves Rival,The corrupted former villain sacrifices themselves to save their greatest rival.
334,Character & Narrative,Atonement For Hubris,The protagonist's atonement for their hubris resulted in a lasting legacy of humility.
335,Character & Narrative,Betrayal Transformation Accepted,The character's transformation was accepted by the community they originally betrayed.
336,Character & Narrative,Antagonist Chooses Redemption,The player successfully persuaded the main antagonist to choose the path of redemption.
337,Character & Narrative,Psychological Wound Healed,The player has permanently healed the deep internal psychological wound that defined them.
338,Character & Narrative,Ultimate Act of Love,The protagonist's ultimate act of love proved to be the world's salvation.
339,Character & Narrative,Rescued Betrayer,The player succeeded in rescuing the one person who previously betrayed them.
340,Character & Narrative,Conscious Struggle Chosen,"The player consciously chose the path of personal struggle over the easy, corrupting victory."
341,Construction & Management,Six Unique Landmarks,The player has successfully constructed all six unique landmarks required for victory.
342,Construction & Management,10 Year Threat Survival,The player's settlement has survived 10 years of simulated existential threats.
343,Construction & Management,5 Years Max Livability,The city's livability rating has been maxed out at 100% for five consecutive years.
344,Construction & Management,200 Unique Buildings,The player's total number of unique constructed buildings is 200.
345,Construction & Management,Full Resource Chain Consumed,The player has successfully produced and consumed every resource on the resource chain map.
346,Construction & Management,Most Popular Theme Park,The player's theme park is universally rated as the most popular attraction in the world.
347,Construction & Management,Three-Tier Structure Topped,The player built the required three-tier structure and placed their token at the top.
348,Construction & Management,Highest Cultural Level,The player's civilization is the first to achieve the highest cultural level in all cities.
349,Construction & Management,All Pollution Eradicated,The player successfully eradicated all forms of pollution from the map forever.
350,Construction & Management,Closed-Loop Orbital Station,"The player has successfully created a fully self-sustaining, closed-loop orbital station."
351,Construction & Management,Tech Tree Under 100 Turns,The player completed the entire technology tree before the 100th game turn.
352,Construction & Management,Final Wealth Worsening,The player has reached the final wealth threshold in a scenario with worsening conditions.
353,Competitive & Athletic,New World Record Set,The player achieved victory by setting a new world record in the most difficult event.
354,Competitive & Athletic,Final Piece Played,The player won the final match by successfully playing the last piece.
355,Competitive & Athletic,Overtime Championship,The player's team won the final championship game in overtime.
356,Competitive & Athletic,Microsecond Win,The player won the race by crossing the finish line exactly one microsecond ahead of the rival.
357,Competitive & Athletic,Perfect Sportsmanship,The player was the only competitor to play the entire tournament with perfect sportsmanship.
358,Competitive & Athletic,Moral Victory (Loss),The player achieved a Moral Victory by losing the contest but upholding the highest virtues.
359,Competitive & Athletic,Score Is Double Runner-Up,The player's total score is more than double the score of the runner-up.
360,Competitive & Athletic,Three Pieces In A Row,The player successfully achieved the required number of pieces in a row three times.
361,Competitive & Athletic,Forced Opponent Violation,The player won the final round by forcing the opponent to violate a major rule.
362,Competitive & Athletic,100-to-1 Underdog Win,"The player, as the underdog, overcame a 100-to-1 odds deficit to win the final."
363,Competitive & Athletic,Inspiring Performance,The player's final performance was so inspiring that all spectators joined their cause.
364,Competitive & Athletic,Finished Thousand Mile Marathon,The player is the only one who finished the marathon of a thousand miles.
365,Competitive & Athletic,Highest Ethical Code Win,The player won the competition while adhering strictly to the highest ethical code.
366,Abstract & Game Specific,Sphinx Question Answered,The player successfully answered the final question posed by the sphinx.
367,Abstract & Game Specific,50 Rare Mushrooms,The player collected 50 unique types of rare mushrooms and delivered them to the alchemist.
368,Abstract & Game Specific,All Seven Crafting Mastered,The player successfully mastered all seven major crafting skills.
369,Character & Narrative,Library Of Every Book,The player's personal library contains a copy of every book ever written.
370,Moral & Ethical,Never Killed An Opponent,The player successfully completed the game without ever killing an opponent.
371,Abstract & Game Specific,Convinced Opposing Team To Quit,The player managed to fully convince the entire opposing team to quit playing.
372,Mystery & Thriller,Perfect Secrecy Rating,The player successfully maintained a perfect secrecy rating throughout the game.
373,Character & Narrative,Retrieved Object Not Lost,The player has successfully retrieved the object they did not know they had lost.
374,Abstract & Game Specific,Maze of Paradoxes Solved,The player successfully navigated the maze of paradoxes and reached the final door.
375,Character & Narrative,Optimal Internal Arc,The player successfully achieved the optimal result for every character's internal arc.
376,Character & Narrative,Ghost Possesses Hero,The player's ghost successfully possesses and guides the new chosen hero.
377,Character & Narrative,Legend Replaced History,The player's legend has completely replaced all historical record.
378,Political & Governance,Ancient Council Disbanded,The player successfully convinced the ancient council to disband forever.
379,Abstract & Game Specific,Found Way To Return Unaltered,The player is the only one who found the way to return to the beginning unaltered.
380,Political & Governance,Million Year Peace,"The player successfully brokered a peace that lasted 1,000,000 simulated years."
381,Technological & Scientific,Inherently Good Life Form,The player successfully created a new form of life that is inherently good.
382,Character & Narrative,Solved Universal Suffering,The player successfully solved the philosophical problem of universal suffering.
383,Abstract & Game Specific,50 Cosmic Key Pieces,The player collected all 50 pieces of the shattered cosmic key.
384,Political & Governance,Benevolent Dictator Ideal,The player successfully convinced the world that a benevolent dictator is the ideal ruler.
385,Abstract & Game Specific,Win with Most Useless Item,The player won the game by possessing the most useless item at the final tally.
386,Environmental & Survival,Manipulated Environment,The player successfully completed the final objective by manipulating the environment.
387,Military & Conquest,Spies Infiltrated Every City,The player's network of spies successfully infiltrated every enemy city.
388,Technological & Scientific,Infinite Fuel Source,"The player successfully engineered the discovery of a non-polluting, infinite fuel source."
389,Moral & Ethical,Enlightenment Shared,The player successfully achieved enlightenment and shared it with all humanity.
390,Character & Narrative,Instant Crop Dance,The player successfully performed the dance that makes the crops grow instantly.
391,Character & Narrative,Curse of Undeath Removed,The player successfully removed the curse of undeath from the final boss.
392,Character & Narrative,Universal Music Masterpiece,The player created a new work of music that is universally regarded as a masterpiece.
393,Character & Narrative,All Minor Prophecies Met,The player successfully fulfilled every minor prophecy foretold at the game's start.
394,Abstract & Game Specific,Legacy Points for New Civ,The player has accumulated enough Legacy Points to start a new civilization.
395,Military & Conquest,Self-Defeating Weapon Destroyed,The player successfully destroyed the single ancient weapon capable of defeating them.
396,Character & Narrative,Brought All Characters to Potential,The player successfully brought every single character to their full potential.
397,Character & Narrative,Warring Deities Retire,The player successfully convinced the three warring deities to retire from meddling.
398,Abstract & Game Specific,Supersonic Mount Bred,The player has successfully bred a mount that is faster than the speed of sound.
399,Abstract & Game Specific,Harmless Massive Explosion,The player won the game by intentionally causing a massive explosion that harmed no one.
400,Political & Governance,Just and Eternal New King,The player successfully ensured that the new king would rule justly and forever.
401,Mystery & Thriller,Unlikeliest Villain Revealed,"The player successfully revealed the high-ranking official as the final, unlikeliest villain."
402,Mystery & Thriller,Core Conspiracy Data Leak,"The core political conspiracy was exposed to the public through an undeniable, verified data leak."
403,Mystery & Thriller,Innocence Proven and Frame Job,The protagonist proved their innocence and uncovered the frame job that led to their false conviction.
404,Mystery & Thriller,World Altering Tech Destroyed,The secret of the world-altering technology was successfully destroyed before the villain could use it.
405,Mystery & Thriller,MacGuffin Recovered,The player recovered the single MacGuffin that holds the key to every major historical event.
406,Mystery & Thriller,Assassin Completed Contract,The assassin successfully completed the contract by eliminating the designated primary target.
407,Mystery & Thriller,Corrupt Leader Confesses,"The player, using philosophical insight, convinced the corrupt leader to confess their crimes publicly."
408,Mystery & Thriller,Trauma Solves Crisis,The protagonist's personal trauma was the key to solving the global geopolitical crisis.
409,Mystery & Thriller,Moral Gray Pragmatic Outcome,The player successfully navigated the moral gray area and chose the most pragmatic outcome.
410,Mystery & Thriller,Plausible Better Reality Created,The player created an alternative reality that is plausible and better than the current one.
411,Mystery & Thriller,Intelligence Superiority,The player proved that their intelligence was superior to the entire global spy network.
412,Mystery & Thriller,Nuclear Plot Thwarted Seconds,The player successfully thwarted a nuclear plot with only seconds left on the countdown.
413,Mystery & Thriller,Counter-Strategy Downfall,The protagonist's long-term counter-strategy resulted in the downfall of the entrenched evil.
414,Environmental & Survival,Designated Planet Terraformed,"The player successfully terraformed the designated barren planet into a lush, breathable world."
415,Environmental & Survival,100 Days Hostile Survival,The player's survival skills allowed them to endure 100 consecutive days in the most hostile biome.
416,Environmental & Survival,Full Community Resource Thriving,The player successfully gathered the food and water resources necessary for their entire community to thrive.
417,Environmental & Survival,Lost Loved One Returned,The player achieved victory by finding their lost loved one and safely returning them to civilization.
418,Environmental & Survival,Impenetrable Base Built,"The player successfully built a permanent, defended base that is impenetrable to all threats."
419,Environmental & Survival,Environmental Blight Cured,The player cured the environmental blight that was killing all the world's plant life.
420,Environmental & Survival,Giant Boss Creature Captured,The player successfully captured and studied the Giant Boss Creature without killing it.
421,Environmental & Survival,Perpetual Optimal Health,The player has accumulated enough resources to perpetually maintain optimal health stats.
422,Environmental & Survival,Flooded Planet Escaped,"The player successfully escaped the flooded planet on their self-built, advanced airship."
423,Environmental & Survival,Human Life Sustained Indefinitely,The player proved that human life can be sustained indefinitely without external aid.
424,Environmental & Survival,Symbiosis with Hostile Planet,The player achieved symbiosis with the hostile planet's native fauna and flora.
425,Environmental & Survival,Natural Disaster Stopped,The player succeeded in stopping the natural disaster from occurring at the last moment.
426,Environmental & Survival,Only Survivor of Zombie Wave,The player won by being the only one to survive the entire Zombie Wave Apocalypse.
427,Environmental & Survival,Shrinking World Reversed,The player discovered the reason for the world's shrinking size and reversed the effect.
428,Ancient & Ideal State,Platonic Ideal State,The player established a Platonic Ideal State where justice is perfectly realized by specialization.
429,Ancient & Ideal State,Philosopher King Max Happiness,"The player, as the Philosopher King, achieved the maximum possible happiness for all citizens."
430,Ancient & Ideal State,Perfect Internal Peace,The player's state is one of perfect internal peace and harmony among all social classes.
431,Ancient & Ideal State,Aristotelian Eudaimonia,The player achieved the Aristotelian concept of Eudaimonia for all individuals in the city-state.
432,Ancient & Ideal State,Love Ushers Global Peace,The player's single act of love and friendship ushered in an era of global peace.
433,Ancient & Ideal State,Virtuous City Established,"The player successfully established the Virtuous City, aiming for the universal happiness of the community."
434,Ancient & Ideal State,Highest Moral Duty Achieved,The player's state has achieved the highest moral duty to establish peace and friendship.
435,Ancient & Ideal State,Non-Violence Concession,"The player, through non-violence, forced the opposing power to concede their disputed claim."
436,Ancient & Ideal State,Only Beacon of Truth,The player's city-state is recognized as the only beacon of truth and knowledge in the world.
437,Ancient & Ideal State,Virtue Ethics Taught,The player successfully taught all citizens the meaning of virtue ethics.
438,Ancient & Ideal State,Ruled by Reason Society,The player's leadership created a society where everyone acts according to reason and not appetite.
439,Ancient & Ideal State,Highest Perfection Achieved,The player successfully achieved the highest perfection designed by nature for humanity.
440,Social Deduction & Pysch,Hidden Traitor Undetected,"The player, as the hidden traitor, successfully remained undetected until the final turn."
441,Social Deduction & Pysch,Alibi Deflected Suspicion,The player's convincing alibi deflected suspicion and resulted in the innocent's elimination.
442,Social Deduction & Pysch,Conflicting Role Convinced,The player successfully convinced the group that their own conflicting role was beneficial to the team.
443,Social Deduction & Pysch,First To Be Eliminated,The player won by successfully being the first player to be eliminated from the game (The Tanner).
444,Social Deduction & Pysch,Double Bluff Identified,The player was the only one who correctly identified the double bluff scenario.
445,Social Deduction & Pysch,Unassailable Cover Story,The player created a cover story so intricate that its truth value is unassailable.
446,Social Deduction & Pysch,Manipulated Tradition Meta,The player successfully manipulated the group's tradition-based meta to their own advantage.
447,Social Deduction & Pysch,Cleared Innocent Teammate,"The player, as the good character, successfully cleared the name of an innocent teammate."
448,Social Deduction & Pysch,Two Rival Factions Eliminated,The player successfully convinced two rival factions to eliminate each other.
449,Social Deduction & Pysch,Zero Suspicion Points,The player's character ended the game with zero suspicion points.
450,Social Deduction & Pysch,Last-Minute Vote Change,"The player won the final vote by exactly one, decisive, last-minute vote change."
451,Social Deduction & Pysch,Fanatical Commitment Maintained,The player successfully maintained their fanatical commitment to their initial goal.
452,Social Deduction & Pysch,Victory By Abstention,The player successfully led the group to victory by abstaining from all critical decisions.
453,Abstract & Game Specific,Rarest Artifact Possession,"The player won the game by possessing the single, rarest artifact of power."
454,Abstract & Game Specific,Universally Impossible Task,The player successfully completed the task that was universally considered impossible.
455,Abstract & Game Specific,Won Right To Retire,The player successfully won the right to retire a hero praised by their people.
456,Military & Conquest,Overwhelming Siege Defense,"The player successfully constructed a defense that survived the final, overwhelming siege."
457,Abstract & Game Specific,Zero Character Interaction,The player successfully completed the game without ever interacting with another character.
458,Abstract & Game Specific,Ziggurat Treasure Filled,The player amassed enough treasure to fill a ziggurat to the very top.
459,Character & Narrative,Kindness Breaks Conflict Cycle,The player successfully broke the cycle of eternal conflict through a single act of kindness.
460,Abstract & Game Specific,100 Million EXP,"The player's total cumulative experience points exceeded 100,000,000."
461,Political & Governance,Alien Ceasefire Negotiated,The player successfully negotiated a permanent ceasefire with the hostile alien race.
462,Moral & Ethical,Proved Value of Single Life,The player successfully proved the ultimate value of a single human life.
463,Construction & Management,Every Moon Colonized,The player successfully colonized every moon in the solar system.
464,Construction & Management,Single Scarce Resource Build,"The player successfully built a new structure entirely out of a single, scarce resource."
465,Military & Conquest,Fighting Style Adopted Globally,The player's unique fighting style was adopted by all military forces worldwide.
466,Mystery & Thriller,True Lineage Uncovered,The player successfully uncovered the true lineage of the mysterious protagonist.
467,Political & Governance,All Future Scandals Prevented,The player successfully prevented all future political scandals forever.
468,Abstract & Game Specific,Final Legal Move Win,The player won the game on the final legal move possible.
469,Technological & Scientific,New Physics Theory Replaced,The player's new theory of physics replaced all existing knowledge.
470,Abstract & Game Specific,Zero Damage Navigation,The player successfully navigated the entire map without taking a single point of damage.
471,Political & Governance,Rule of Law is Supreme,The player successfully convinced the world that the rule of law is supreme.
472,Abstract & Game Specific,Highest Score In All Categories,"The player achieved victory by having the highest score in the cultural, economic, and military categories."
473,Character & Narrative,Trained Five Kingdom Rulers,"The player successfully trained a cohort of five heroes, each capable of ruling a kingdom."
474,Environmental & Survival,Brought Rain to Drought,The player successfully brought rain to the drought-stricken lands.
475,Technological & Scientific,All Pre-Collapse Secrets,The player recovered all the lost technological secrets of the pre-Collapse era.
476,Abstract & Game Specific,Win Unwinnable Game,The player successfully won a game that was explicitly designed to be unwinnable.
477,Character & Narrative,Negotiated Resurrection,The player successfully negotiated their own resurrection from the dead.
478,Character & Narrative,All Dark Magic Destroyed,The player has destroyed all sources of dark magic in the world.
479,Abstract & Game Specific,Contradictory Contract Fulfilled,The player successfully fulfilled every contradictory clause in the ancient contract.
480,Abstract & Game Specific,Total Victory On Turn One,The player achieved total victory on the very first turn of the game.
481,Technological & Scientific,Doubled Known Universe Size,The player's single discovery doubled the entire known size of the universe.
482,Character & Narrative,God of War Lays Down Arms,The player successfully convinced the god of war to lay down their arms forever.
483,Abstract & Game Specific,Perfect Nash Equilibrium,The player's final decision resulted in a perfect Nash equilibrium for all players.
484,Environmental & Survival,Rescued All 7 From Fire,The player successfully rescued all 7 people/animals from the burning structure.
485,Construction & Management,All 6 Designated Landmarks,The player is the first to obtain all 6 designated landmarks for their city.
486,Abstract & Game Specific,Survived 20 Ticking Clock,The player achieved victory by surviving 20 rounds of the Ticking Clock loss condition.
487,Construction & Management,Currency-Free Civilization,The player succeeded in building a new civilization without any form of currency.
488,Character & Narrative,Defied Magical Laws,The player successfully performed the trick that defies all established magical laws.
489,Military & Conquest,Convinced War Not Worth Cost,The player successfully convinced the hostile force that the war was not worth the cost.
490,Environmental & Survival,Permanent Peace Among Life,The player has successfully created a permanent peace among animals and humans.
491,Technological & Scientific,Perpetual Motion Engineered,The player successfully engineered a perpetual motion machine.
492,Character & Narrative,10000 Generation Legacy,"The player's legacy is guaranteed to be remembered for 10,000 generations."
493,Character & Narrative,12 Magical Herbs Collected,The player successfully collected and utilized all 12 types of magical herbs.
494,Abstract & Game Specific,Weakest Starting Character Win,The player achieved victory by using the weakest available starting character.
495,Political & Governance,Ancient King Restored,The player successfully restored the ancient king to his rightful throne.
496,Military & Conquest,Avoided Enemy Scout Detection,The player managed to avoid detection by the enemy scout unit for the entire game.
497,Environmental & Survival,Truly Sustainable Society,The player successfully established a truly sustainable society in all respects.
498,Abstract & Game Specific,Most Beautiful Elegant Play,The player's final move was judged to be the most beautiful and elegant play possible.
499,Abstract & Game Specific,Prevented Domino Effect,The player successfully prevented the domino effect of cascading failures.
500,Military & Conquest,Only Civ Left on Home Planet,The player's civilization is the only one left standing on the home planet.
501,Metaphysical & 4th Wall,Refusal of Origins (Fifth Origin),The player's current success proves the Refusal of Origins (the fifth origin) is the ultimate defining identity.
502,Metaphysical & 4th Wall,Rewrote Source Code,The player successfully rewrote the Source Code of the game world to reflect a truly just society.
503,Metaphysical & 4th Wall,Game Can Never Be Played Again,The player won by choosing the only option that guaranteed the game could never be played again.
504,Metaphysical & 4th Wall,Communicated To Controller,The player successfully communicated the exact coordinates of their own location to the player controlling the game.
505,Metaphysical & 4th Wall,Story Designated As Warning,The player achieved victory by having their entire story designated as a Warning rather than a triumph.
506,Metaphysical & 4th Wall,Accepted Simulation Inhabitant,The protagonist's ultimate realization was that they are an inhabitant of a simulation and they accepted this fact.
507,Metaphysical & 4th Wall,Performed Unintended Action,The player achieved victory by performing the one action the game's developer stated was unintended.
508,Temporal & Paradoxical,Past Act Eliminates Antagonist,The player's single act in the past eliminated the main antagonist before they could commit their first crime.
509,Temporal & Paradoxical,Second Lifetime Unaltered,The player successfully lived an entire second lifetime without altering a single event in the new timeline.
510,Temporal & Paradoxical,Convinced Founder to Peace,The player won the great war by successfully convincing the enemy's historical founder to pursue peace.
511,Temporal & Paradoxical,Past/False/Future True,"The final truth statement is one that is true in the past, false in the present, and true in the future."
512,Temporal & Paradoxical,Delivered Item Disappears,The player achieved victory by returning from the future to deliver an item that subsequently disappears forever.
513,Cultural & Ethical,Achieved Wabi-Sabi,"The player achieved Wabi-Sabi by finding and appreciating the profound, imperfect beauty in the flawed game world."
514,Cultural & Ethical,Achieved Ubuntu,The player successfully achieved Ubuntu by defining their self-worth entirely through the service of others.
515,Cultural & Ethical,Achieved Wu Wei,"The player achieved the ultimate goal by completing the task with the least effort, demonstrating the value of Wu Wei (effortless action)."
516,Cultural & Ethical,Perfect Dharmic Balance,The player's state is one of perfect Dharmic balance where societal order and justice are permanently maintained.
517,Cultural & Ethical,Walked Eightfold Path,The player demonstrated the correct path by successfully walking the Eightfold Path to achieve total enlightenment.
518,Cultural & Ethical,Victory of Collective Survival,The player's triumph is a victory of collective survival over individual glory.
519,Cultural & Ethical,Safe Refuge for All Opponents,The player achieved victory by ensuring that every member of the opposing faction was able to find safe refuge.
520,Cultural & Ethical,Won Right to Contemplation,The player successfully won the right to retire and pursue a life of pure contemplation and intellectual freedom.
521,Cultural & Ethical,Unbreakable Ahimsa,The player's success came from an unbreakable commitment to Ahimsa (non-violence) in all circumstances.
522,Process & Negative,First To Run Out Of Assets,The player won by being the first to run out of all forms of currency and accumulated assets.
523,Process & Negative,Zero Growth Stability,"The player successfully managed their resources to achieve zero growth over 100 turns, preserving stability."
524,Process & Negative,Opponent Drops Win Condition,The player's logic chain convinced the primary opponent to voluntarily drop their win condition.
525,Process & Negative,Traveled Only Starting Space,The player completed the entire game having only traveled within the boundaries of their initial starting space.
